"序号","一级模块","二级模块","页面/对象","功能点","功能说明","接口","Method","权限","主要入参/配置","主要出参/结果","主要落表/对象","备注"
"1","模型管理","Provider 列表","模型提供商页","查看 provider 列表","按模型类型查看当前工作区可用 provider。","/workspaces/current/model-providers","GET","setup_required + login_required + account_initialization_required","model_type","provider 列表","providers, provider_models","只读"
"2","模型管理","Provider 凭证","模型提供商页","查看凭证详情","查看当前或指定凭证。","/workspaces/current/model-providers/<provider>/credentials","GET","setup_required + login_required + account_initialization_required","credential_id","凭证详情","provider credential 表","只读"
"3","模型管理","Provider 凭证","模型提供商页","新增凭证","填写 API Key、Base URL、名称等信息创建凭证。","/workspaces/current/model-providers/<provider>/credentials","POST","setup_required + login_required + is_admin_or_owner_required + account_initialization_required","credentials{}, name","创建结果","provider credential 表","管理员权限"
"4","模型管理","Provider 凭证","模型提供商页","更新凭证","修改指定凭证内容。","/workspaces/current/model-providers/<provider>/credentials","PUT","setup_required + login_required + is_admin_or_owner_required + account_initialization_required","credential_id, credentials{}, name","更新结果","provider credential 表","管理员权限"
"5","模型管理","Provider 凭证","模型提供商页","删除凭证","删除指定凭证。","/workspaces/current/model-providers/<provider>/credentials","DELETE","setup_required + login_required + is_admin_or_owner_required + account_initialization_required","credential_id","删除结果","provider credential 表","管理员权限"
"6","模型管理","Provider 凭证","模型提供商页","切换当前凭证","将某个凭证切换为当前激活凭证。","/workspaces/current/model-providers/<provider>/credentials/switch","POST","setup_required + login_required + is_admin_or_owner_required + account_initialization_required","credential_id","切换成功","激活状态对象","管理员权限"
"7","模型管理","Provider 凭证","模型提供商页","校验凭证","保存前测试凭证是否可用。","/workspaces/current/model-providers/<provider>/credentials/validate","POST","setup_required + login_required + account_initialization_required","credentials{}","success/error","不落库或临时校验对象","只校验"
"8","模型管理","Provider 偏好","模型提供商页","切换 preferred provider type","切换系统提供商或自定义提供商偏好。","/workspaces/current/model-providers/<provider>/preferred-provider-type","POST","setup_required + login_required + is_admin_or_owner_required + account_initialization_required","preferred_provider_type=system/custom","切换结果","偏好 provider 类型表","管理员权限"
"9","插件管理","插件列表","插件中心页","查看插件列表","分页查看已安装插件。","/workspaces/current/plugin/list","GET","setup_required + login_required + account_initialization_required","page, page_size","插件列表","插件安装信息","只读"
"10","插件管理","插件安装","插件中心页","查看最新版本","批量查询插件是否有新版本。","/workspaces/current/plugin/list/latest-versions","POST","setup_required + login_required + account_initialization_required","plugin_ids[]","最新版本字典","registry / marketplace","只读"
"11","插件管理","插件安装","插件中心页","上传本地插件包","上传 .difypkg 包进行解析。","/workspaces/current/plugin/upload/pkg","POST","setup_required + login_required + account_initialization_required + plugin_permission_required(install_required=True)","multipart pkg","上传解析结果","安装任务, 临时包","安装权限"
"12","插件管理","插件安装","插件中心页","从 GitHub 上传","填写 repo、version、package 上传插件。","/workspaces/current/plugin/upload/github","POST","同上","repo, version, package","上传解析结果","安装任务","安装权限"
"13","插件管理","插件安装","插件中心页","上传 bundle","上传 bundle 文件进行解析。","/workspaces/current/plugin/upload/bundle","POST","同上","multipart bundle","上传解析结果","安装任务","安装权限"
