"序号","一级模块","二级模块","页面/对象","功能点","功能说明","接口","Method","权限","主要入参/配置","主要出参/结果","主要落表/对象","备注"
"1","知识库","Dataset 基础","知识库列表页","新建知识库","填写名称、描述、索引方式、权限、来源类型后创建知识库。","/datasets","POST","setup_required + login_required + account_initialization_required","name, description, indexing_technique, permission, provider, external_knowledge_api_id, external_knowledge_id","新建 Dataset","datasets","知识库主入口"
"2","知识库","Dataset 基础","知识库列表页","新建并立即导入","创建知识库并同时初始化文档导入。","/datasets/init","POST","setup_required + login_required + account_initialization_required","创建 Dataset + 文档初始化参数","Dataset + documents","datasets, documents, upload_files","一站式入口"
"3","知识库","Dataset 基础","知识库列表页","查看列表","支持分页、关键字、标签、指定 ID、是否包含全部。","/datasets","GET","setup_required + login_required + account_initialization_required","page, limit, keyword, include_all, ids[], tag_ids[]","Dataset 分页列表","datasets, tag_bindings","只读"
"4","知识库","Dataset 基础","知识库列表页","查看详情","读取知识库详情、权限和元数据。","/datasets/<dataset_id>","GET","setup_required + login_required + account_initialization_required","dataset_id","Dataset 详情","datasets, dataset_permissions, dataset_metadata","只读"
"5","知识库","Dataset 设置","知识库设置页","保存基本信息","修改名称、描述、权限、索引方式、Embedding 模型、多模态、图标。","/datasets/<dataset_id>","PATCH","setup_required + login_required + account_initialization_required","name, description, permission, indexing_technique, embedding_model, embedding_model_provider, icon_info, is_multimodal","更新后 Dataset","datasets","设置总入口"
"6","知识库","Dataset 设置","知识库设置页","保存检索配置","配置 search_method、TopK、阈值、重排开关、重排模型、加权检索权重。","/datasets/<dataset_id>","PATCH","同上","retrieval_model","更新后 Dataset","datasets.retrieval_model","复杂 JSON"
"7","知识库","Dataset 设置","知识库设置页","保存摘要索引配置","开启摘要索引时需填写摘要模型、摘要提供商和摘要 Prompt。","/datasets/<dataset_id>","PATCH","同上","summary_index_setting","更新后 Dataset","datasets.summary_index_setting","复杂 JSON"
"8","知识库","Dataset 设置","知识库设置页","保存外部知识配置","绑定外部知识库、外部 API，并设置外部检索阈值。","/datasets/<dataset_id>","PATCH","同上","external_knowledge_id, external_knowledge_api_id, external_retrieval_model","更新后 Dataset","datasets 外部绑定字段","外部数据源模式"
"9","知识库","Dataset 设置","知识库设置页","查看引用检查","删除前查看是否已被应用引用。","/datasets/<dataset_id>/use-check","GET","同上","dataset_id","是否被 App 使用","app_dataset_joins","删除前检查"
"10","知识库","Dataset 设置","知识库设置页","查看关联应用","查看当前知识库被哪些应用使用。","/datasets/<dataset_id>/related-apps","GET","同上","dataset_id","关联 App 列表","app_dataset_joins, apps","只读"
"11","知识库","Dataset 设置","知识库设置页","删除知识库","删除整个知识库及其文档、切片、权限等关联对象。","/datasets/<dataset_id>","DELETE","同上","dataset_id","result=success","datasets, documents, document_segments, dataset_permissions","高风险操作"
"12","知识库","API Token","知识库设置页","查看 API Key 列表","查看知识库 API Token。","/datasets/api-keys","GET","setup_required + login_required + account_initialization_required","无","API key 列表","api_tokens","只读"
"13","知识库","API Token","知识库设置页","新增 API Key","为知识库生成新的 API Token。","/datasets/api-keys","POST","setup_required + login_required + is_admin_or_owner_required + account_initialization_required","dataset / token 描述等","新 API key","api_tokens","管理员权限"
"14","知识库","API Token","知识库设置页","删除 API Key","删除知识库 Token。","/datasets/api-keys/<api_key_id>","DELETE","setup_required + login_required + is_admin_or_owner_required + account_initialization_required","api_key_id","删除结果","api_tokens","管理员权限"
"15","知识库","API Token","知识库设置页","启用/禁用 API Key","切换知识库 Token 状态。","/datasets/<dataset_id>/api-keys/<status>","POST","setup_required + login_required + account_initialization_required","dataset_id, status","启停结果","api_tokens.enabled","状态开关"
"16","知识库","文档导入","文档列表页","获取处理规则","打开导入弹窗时读取默认切片规则。","/datasets/process-rule","GET","setup_required + login_required + account_initialization_required","document_id","当前切片规则","dataset_process_rules","只读"
"17","知识库","文档导入","文档列表页","导入文档","支持文件、Notion、网站等来源导入，包含处理规则和索引方式。","/datasets/<dataset_id>/documents","POST","setup_required + login_required + account_initialization_required","KnowledgeConfig（文件、data_source、process_rule、索引方式等）","新文档列表","documents, upload_files, dataset_process_rules, document_segments","文档主入口"
"18","知识库","文档导入","文档列表页","查看文档列表","支持分页、关键字、排序、状态过滤。","/datasets/<dataset_id>/documents","GET","setup_required + login_required + account_initialization_required","page, limit, keyword, sort, fetch, status","文档分页列表","documents","只读"
"19","知识库","文档导入","文档列表页","查看单文档详情","打开文档详情与切片信息。","/datasets/<dataset_id>/documents/<document_id>","GET","同上","document_id","文档详情","documents, document_segments","只读"
"20","知识库","文档导入","文档列表页","重命名文档","修改文档名称。","/datasets/<dataset_id>/documents/<document_id>/rename","POST","同上","name","更新后文档","documents.name","轻量编辑"
"21","知识库","文档导入","文档列表页","删除单文档","删除指定文档及切片。","/datasets/<dataset_id>/documents/<document_id>","DELETE","同上","document_id","删除结果","documents, document_segments","高频操作"
"22","知识库","文档导入","文档列表页","批量删除文档","多选后批量删除文档。","/datasets/<dataset_id>/documents","DELETE","同上","批量文档参数","批量删除结果","documents, document_segments","批量操作"
"23","知识库","文档导入","文档列表页","下载单文档","下载原始文件。","/datasets/<dataset_id>/documents/<document_id>/download","GET","同上","document_id","文件流或下载 URL","upload_files","只读"
"24","知识库","文档导入","文档列表页","批量打包下载","将多个文档打包为 zip 下载。","/datasets/<dataset_id>/documents/download-zip","POST","同上","document_ids[]","ZIP 下载流","documents, upload_files","批量导出"
"25","知识库","索引状态","文档列表页","查看单文档索引状态","查看 parsing、indexing、completed、error 等状态。","/datasets/<dataset_id>/documents/<document_id>/indexing-status","GET","同上","document_id","文档索引状态","documents","只读"
"26","知识库","索引状态","文档列表页","查看批次索引状态","查看同批次导入文档状态。","/datasets/<dataset_id>/batch/<batch>/indexing-status","GET","同上","batch","批次索引状态","documents","批处理监控"
"27","知识库","索引状态","文档列表页","索引预估","预估 token 消耗和索引成本。","/datasets/indexing-estimate, /datasets/<dataset_id>/documents/<document_id>/indexing-estimate, /datasets/<dataset_id>/batch/<batch>/indexing-estimate","POST/GET","同上","info_list, process_rule, indexing_technique, doc_form, dataset_id, doc_language","索引预估结果","估算对象","不一定落库"
"28","知识库","索引状态","文档列表页","重试失败文档","对失败文档重新入队。","/datasets/<dataset_id>/retry","POST","同上","document_ids[]","重试结果","任务队列, documents","重试处理"
"29","知识库","索引状态","文档列表页","暂停处理","暂停解析或索引。","/datasets/<dataset_id>/documents/<document_id>/processing/pause","PATCH","同上","document_id","暂停结果","documents.is_paused","运行控制"
"30","知识库","索引状态","文档列表页","恢复处理","恢复解析或索引。","/datasets/<dataset_id>/documents/<document_id>/processing/resume","PATCH","同上","document_id","恢复结果","documents.is_paused","运行控制"
"31","知识库","索引状态","文档列表页","批量启用/禁用/归档","批量切换文档启用、停用、归档、取消归档状态。","/datasets/<dataset_id>/documents/status/<action>/batch","PATCH","同上","文档 ID 列表, action","批量状态结果","documents.enabled, documents.archived","批量状态管理"
"32","知识库","摘要索引","文档列表页","生成摘要","批量触发摘要生成任务。","/datasets/<dataset_id>/documents/generate-summary","POST","同上","document_list[]","任务触发结果","摘要任务对象","依赖 summary_index_setting"
"33","知识库","摘要索引","文档列表页","查看摘要状态","查看摘要生成进度。","/datasets/<dataset_id>/documents/<document_id>/summary-status","GET","同上","document_id","摘要状态","摘要状态对象","只读"
"34","知识库","网站同步","文档详情页","查看网站同步状态","查看网站来源文档同步结果。","/datasets/<dataset_id>/documents/<document_id>/website-sync","GET","同上","document_id","网站同步信息","网站源配置","网站源专用"
"35","知识库","执行日志","文档详情页","查看 pipeline 执行日志","打开处理管线日志抽屉。","/datasets/<dataset_id>/documents/<document_id>/pipeline-execution-log","GET","同上","document_id","pipeline 执行日志","pipeline log","排障入口"
"36","知识库","元数据管理","元数据管理页","查看元数据字段","查看知识库元数据字段定义。","/datasets/<dataset_id>/metadata","GET","setup_required + login_required + account_initialization_required","dataset_id","元数据字段列表","dataset_metadata","只读"
"37","知识库","元数据管理","元数据管理页","新增元数据字段","填写字段名和类型，创建元数据字段。","/datasets/<dataset_id>/metadata","POST","同上","name, type","新元数据字段","dataset_metadata","自定义字段"
"38","知识库","元数据管理","元数据管理页","编辑元数据字段","修改字段名或类型。","/datasets/<dataset_id>/metadata/<metadata_id>","PATCH","同上","字段更新参数","更新结果","dataset_metadata","字段维护"
"39","知识库","元数据管理","元数据管理页","删除元数据字段","删除字段定义及相关绑定。","/datasets/<dataset_id>/metadata/<metadata_id>","DELETE","同上","metadata_id","删除结果","dataset_metadata, binding","高风险操作"
"40","知识库","元数据管理","元数据管理页","查看内置字段","查看系统内置 metadata 字段。","/datasets/metadata/built-in","GET","同上","无","内置字段列表","内置字段对象","只读"
"41","知识库","元数据管理","元数据管理页","启用/禁用内置字段","控制 built-in metadata 字段启用状态。","/datasets/<dataset_id>/metadata/built-in/<action>","POST","同上","action=enable/disable","启停结果","datasets.built_in_field_enabled","开关项"
"42","知识库","元数据管理","元数据管理页","批量编辑文档元数据","批量为文档赋值元数据。","/datasets/<dataset_id>/documents/metadata","POST","同上","批量文档元数据修改","批量更新结果","documents.doc_metadata, binding","批量维护"
