"序号","一级模块","二级模块","页面/对象","功能点","功能说明","接口","Method","权限","主要入参/配置","主要出参/结果","主要落表/对象","备注"
"1","运行数据","会话管理","会话列表页","查看 Chat 会话列表","按关键字、时间、标注状态、分页查看聊天会话。","/apps/<app_id>/chat-conversations","GET","setup_required + login_required + account_initialization_required + get_app_model(mode=[chat,agent-chat,advanced-chat]) + edit_permission_required","keyword, start, end, annotation_status, page, limit, sort_by","Chat 会话分页","conversations, messages, message_feedbacks","后台审查与运营视图"
"2","运行数据","会话管理","会话列表页","查看 Completion 会话列表","按条件查看 completion 类应用的会话记录。","/apps/<app_id>/completion-conversations","GET","setup_required + login_required + account_initialization_required + get_app_model(mode=completion) + edit_permission_required","keyword, start, end, annotation_status, page, limit","Completion 会话分页","conversations, messages, message_annotations","模式专用"
"3","运行数据","会话管理","会话列表页","查看单个会话详情","进入指定会话查看内容。","/apps/<app_id>/chat-conversations/<conversation_id>","GET","同上","conversation_id","会话详情","conversations, messages","只读"
"4","运行数据","会话管理","会话列表页","删除会话","删除会话及其关联消息展示。","/apps/<app_id>/chat-conversations/<conversation_id>","DELETE","同上","conversation_id","result=success","conversations.is_deleted","通常为软删除语义"
"5","运行数据","消息管理","消息详情页","查看消息流","按会话滚动加载消息、附件、反馈、标注。","/apps/<app_id>/chat-messages","GET","setup_required + login_required + account_initialization_required + get_app_model(mode=[chat,agent-chat,advanced-chat]) + edit_permission_required","conversation_id, first_id, limit","消息列表","messages, message_files, message_feedbacks, message_annotations","无限滚动"
"6","运行数据","消息管理","消息详情页","查看单条消息详情","查看消息正文、附件、反馈、标注及关联信息。","/apps/<app_id>/messages/<message_id>","GET","setup_required + login_required + get_app_model + edit_permission_required","message_id","消息详情","messages, message_files, message_feedbacks, message_annotations","单条排障常用"
"7","运行数据","消息反馈","消息详情页","提交点赞/点踩","记录管理员或用户对回答结果的反馈。","/apps/<app_id>/feedbacks","POST","setup_required + login_required","message_id, rating, content","反馈结果","message_feedbacks","rating 一般为 like/dislike"
"8","运行数据","消息反馈","反馈管理页","导出反馈","按来源、评分、是否有评论、时间范围导出反馈。","/apps/<app_id>/feedbacks/export","GET","setup_required + login_required","from_source, rating, has_comment, start_date, end_date, format","CSV 或 JSON 导出","message_feedbacks","运营分析"
"9","运行数据","建议追问","消息详情页","查看建议问题","读取某条回答后生成的建议追问列表。","/apps/<app_id>/chat-messages/<message_id>/suggested-questions","GET","setup_required + login_required","message_id","建议问题列表","运行结果对象","依赖模型配置"
"10","运行数据","会话变量","变量面板","查看会话变量","高级对话模式下查看当前会话变量。","/apps/<app_id>/conversation-variables","GET","setup_required + login_required + account_initialization_required + get_app_model(mode=advanced-chat)","conversation_id","变量列表","conversation_variables","仅 advanced-chat"
