"序号","一级模块","二级模块","页面/对象","功能点","功能说明","接口","Method","权限","主要入参/配置","主要出参/结果","主要落表/对象","备注"
"1","知识库","检索配置","知识库设置页","retrieval_model","配置 search_method、TopK、阈值、重排开关、重排模型、加权检索权重；search_method 支持 semantic_search、keyword_search、full_text_search、hybrid_search。","/datasets/<dataset_id>","PATCH","setup_required + login_required + account_initialization_required","retrieval_model.search_method, reranking_enable, reranking_mode, reranking_model, weights, top_k, score_threshold_enabled, score_threshold","更新后 Dataset","datasets.retrieval_model","复杂 JSON；默认 search_method=semantic_search, top_k=2"
"2","知识库","摘要配置","知识库设置页","summary_index_setting","开启摘要索引后需填写摘要模型、提供商、摘要 Prompt。","/datasets/<dataset_id>","PATCH","setup_required + login_required + account_initialization_required","summary_index_setting.enable, model_name, model_provider_name, summary_prompt","更新后 Dataset","datasets.summary_index_setting","enable=false 时其余字段可为空"
"3","知识库","外部检索配置","知识库设置页","external_retrieval_model","配置外部知识库检索的 TopK 和阈值。","/datasets/<dataset_id>","PATCH","setup_required + login_required + account_initialization_required","external_retrieval_model.top_k, score_threshold, score_threshold_enabled","更新后 Dataset","datasets 外部检索 JSON","外部知识模式"
"4","知识库","图标配置","知识库设置页","icon_info","配置图标类型、图标内容、背景色；image 场景下 icon 多为文件 key。","/datasets/<dataset_id>","PATCH","setup_required + login_required + account_initialization_required","icon_info.icon_type, icon, icon_background","更新后 Dataset","datasets.icon_info","icon_url 多为返回字段"
"5","知识库","切片规则","文档导入弹窗","dataset_process_rules.rules","配置预处理规则、分隔符、max_tokens、chunk_overlap 等切片规则。","/datasets/process-rule, /datasets/<dataset_id>/documents","GET/POST","setup_required + login_required + account_initialization_required","pre_processing_rules[], segmentation.delimiter, segmentation.max_tokens, segmentation.chunk_overlap","规则详情或导入结果","dataset_process_rules.rules","支持 automatic、custom、hierarchical 等模式"
"6","知识库","文档元数据","元数据管理页","doc_metadata","文档元数据是动态 key-value，key 集由 dataset_metadata 定义，可批量维护。","/datasets/<dataset_id>/documents/metadata, /datasets/<dataset_id>/documents/<document_id>/metadata","POST/PUT","setup_required + login_required + account_initialization_required","source, department, version, publish_date 等动态 key","更新结果","documents.doc_metadata","与 dataset_metadata 联动"
"7","应用管理","模型配置","模型配置页","agent_mode","配置是否启用 Agent、策略、工具列表、每个工具的 provider_type、provider_id、tool_name、tool_parameters、credential_id、prompt。","/apps/<app_id>/model-config","POST","setup_required + login_required + account_initialization_required + edit_permission_required + get_app_model(mode=[agent-chat,chat,completion])","agent_mode.enabled, strategy, tools[], prompt","保存成功","app_model_configs.agent_mode","tool_parameters 中的密钥字段会加密存储"
"8","应用管理","模型配置","模型配置页","dataset_configs","配置知识库引用模式、绑定的 dataset_ids、TopK、阈值、重排、metadata filtering 等。","/apps/<app_id>/model-config","POST","同上","dataset_configs.retrieval_model, datasets.dataset_ids, top_k, score_threshold, score_threshold_enabled, reranking_model, weights, metadata_filtering_mode","保存成功","app_model_configs.dataset_configs","默认 retrieval_model=multiple"
"9","应用管理","模型配置","模型配置页","file_upload","控制图片上传开关、数量限制、detail、transfer_methods。","/apps/<app_id>/model-config","POST","同上","file_upload.image.enabled, number_limits, detail, transfer_methods","保存成功","app_model_configs.file_upload","默认 transfer_methods=[remote_url, local_file]"
"10","应用管理","模型配置","模型配置页","chat_prompt_config","配置聊天 Prompt 片段数组，包含 system/user 等 role 和对应文本。","/apps/<app_id>/model-config","POST","同上","chat_prompt_config.prompt[]","保存成功","app_model_configs.chat_prompt_config","复杂 Prompt"
"11","应用管理","模型配置","模型配置页","completion_prompt_config","配置补全文本 Prompt 模板。","/apps/<app_id>/model-config","POST","同上","completion_prompt_config.prompt.text","保存成功","app_model_configs.completion_prompt_config","completion 模式"
"12","插件管理","偏好配置","插件中心页","plugin preferences","配置安装权限、调试权限、自动升级策略、升级时间、升级模式、纳入/排除列表。","/workspaces/current/plugin/preferences/change","POST","setup_required + login_required + account_initialization_required","permission.install_permission, permission.debug_permission, auto_upgrade.strategy_setting, auto_upgrade.upgrade_time_of_day, auto_upgrade.upgrade_mode, auto_upgrade.exclude_plugins, auto_upgrade.include_plugins","success=true","tenant_plugin_permissions, tenant_plugin_auto_upgrade_strategies","偏好总入口"
