"序号","一级模块","二级模块","页面/对象","功能点","功能说明","接口","Method","权限","主要入参/配置","主要出参/结果","主要落表/对象","备注"
"1","工作流","草稿管理","Workflow 编辑器","加载草稿","打开编辑器时读取当前草稿。","/apps/<app_id>/workflows/draft","GET","setup_required + login_required + account_initialization_required + get_app_model(mode=[advanced-chat,workflow]) + edit_permission_required","app_id","Draft workflow","workflows","只读"
"2","工作流","草稿管理","Workflow 编辑器","保存草稿","保存 graph、features、hash、环境变量、会话变量。","/apps/<app_id>/workflows/draft","POST","同上","graph, features, hash, environment_variables[], conversation_variables[]","result, hash, updated_at","workflows.graph, workflows.features","编辑器主保存入口"
"3","工作流","调试执行","Workflow 编辑器","调试整个流程","对 workflow 应用运行当前 draft。","/apps/<app_id>/workflows/draft/run","POST","setup_required + login_required + account_initialization_required + get_app_model(mode=[workflow])","inputs, files[]","调试执行结果","workflow_runs, workflow_node_executions","workflow 模式"
"4","工作流","调试执行","Workflow 编辑器","调试高级对话流程","对 advanced-chat 应用运行当前 draft，并可关联会话和消息。","/apps/<app_id>/advanced-chat/workflows/draft/run","POST","setup_required + login_required + account_initialization_required + get_app_model(mode=[advanced-chat])","inputs, query, conversation_id, parent_message_id, files[]","调试执行结果","workflow_runs, messages, conversations","advanced-chat 模式"
"5","工作流","节点调试","Workflow 编辑器","调试单节点","运行选中的单个节点。","/apps/<app_id>/workflows/draft/nodes/<node_id>/run","POST","同上","inputs, query, files[]","单节点执行结果","workflow_node_executions","用于节点级排障"
"6","工作流","节点调试","Workflow 编辑器","查看节点上次结果","查看指定节点最近一次运行结果。","/apps/<app_id>/workflows/draft/nodes/<node_id>/last-run","GET","同上","node_id","节点最后一次执行结果","workflow_node_executions","只读"
"7","工作流","节点调试","Workflow 编辑器","调试迭代节点","对 iteration 节点单独调试。","/apps/<app_id>/workflows/draft/iteration/nodes/<node_id>/run","POST","同上","inputs","迭代节点结果","workflow_node_executions","循环类节点"
"8","工作流","节点调试","Workflow 编辑器","调试循环节点","对 loop 节点单独调试。","/apps/<app_id>/workflows/draft/loop/nodes/<node_id>/run","POST","同上","inputs","循环节点结果","workflow_node_executions","循环类节点"
"9","工作流","人工输入","Workflow 编辑器","预览人工输入表单","预览 human-input 节点表单结构。","/apps/<app_id>/workflows/draft/human-input/nodes/<node_id>/form/preview","POST","同上","当前上下文输入","表单预览数据","workflow graph","只读预览"
"10","工作流","人工输入","Workflow 编辑器","提交人工输入表单","在调试态提交 human-input 节点输入。","/apps/<app_id>/workflows/draft/human-input/nodes/<node_id>/form/run","POST","同上","表单输入内容","执行结果","workflow_node_executions","恢复暂停流程"
"11","工作流","Trigger 调试","Workflow 编辑器","调试 Trigger","调试一个或多个触发器节点。","/apps/<app_id>/workflows/draft/trigger/run, /apps/<app_id>/workflows/draft/nodes/<node_id>/trigger/run, /apps/<app_id>/workflows/draft/trigger/run-all","POST","同上","node_id 或 node_ids[]","Trigger 调试结果","workflow_runs","触发器节点调试"
"12","工作流","版本管理","Workflow 编辑器","发布 Workflow","输入标记名和备注后发布版本。","/apps/<app_id>/workflows/publish","POST","同上","marked_name, marked_comment","发布后的 workflow","workflows","形成版本记录"
"13","工作流","版本管理","版本历史页","查看版本历史","分页查看历史版本。","/apps/<app_id>/workflows","GET","同上","page, limit, user_id, named_only","Workflow 历史版本分页","workflows","只读"
"14","工作流","版本管理","版本历史页","查看单版本详情","查看指定 workflow 版本详情。","/apps/<app_id>/workflows/<workflow_id>","GET","同上","workflow_id","workflow 详情","workflows","只读"
"15","工作流","版本管理","版本历史页","更新版本标记信息","更新已发布版本的标记名或注释。","/apps/<app_id>/workflows/<workflow_id>","PATCH","同上","marked_name, marked_comment","更新后 workflow","workflows","版本管理补录"
"16","工作流","版本管理","版本历史页","恢复某版本","将历史版本恢复为当前草稿。","/apps/<app_id>/workflows/<workflow_id>/restore","POST","同上","workflow_id","恢复结果","workflows","回滚能力"
"17","工作流","应用转换","Workflow 编辑器","转换为 Workflow App","将其它模式应用转换成 workflow 应用。","/apps/<app_id>/convert-to-workflow","POST","同上","name, icon_type, icon, icon_background","转换后的 app/workflow","apps, workflows","模式迁移"
"18","工作流","运行记录","Workflow Run 列表页","查看 Run 列表","查看 workflow 或 advanced-chat 的运行记录。","/apps/<app_id>/workflow-runs, /apps/<app_id>/advanced-chat/workflow-runs","GET","setup_required + login_required + account_initialization_required + get_app_model(mode=[advanced-chat,workflow])","last_id, limit, status, triggered_from","run 列表","workflow_runs","运行追踪"
