"序号","一级模块","二级模块","页面/对象","功能点","功能说明","接口","Method","权限","主要入参/配置","主要出参/结果","主要落表/对象","备注"
"1","应用管理","App 基础","应用列表页","新建应用","弹窗填写名称、模式、描述、图标后创建应用；不同模式会初始化对应配置对象。","/apps","POST","setup_required + login_required + account_initialization_required + edit_permission_required","name, description, mode, icon_type, icon, icon_background","新建 App 详情","apps, app_model_configs, workflows, sites","mode 支持 chat、agent-chat、advanced-chat、workflow、completion"
"2","应用管理","App 基础","应用列表页","查看应用列表","支持分页、按名称、模式、标签、是否本人创建筛选。","/apps","GET","setup_required + login_required + account_initialization_required","page, limit, mode, name, tag_ids, is_created_by_me","App 分页列表","apps, app_model_configs, workflows, tag_bindings","只读"
"3","应用管理","App 基础","应用列表页","复制应用","复制当前应用为新应用，同时复制模型配置、工作流或站点配置。","/apps/<app_id>/copy","POST","setup_required + login_required + account_initialization_required + get_app_model + edit_permission_required","name, description, icon_type, icon, icon_background","复制后的 App","apps, app_model_configs, workflows, sites","常用于快速派生相似应用"
"4","应用管理","App 基础","应用列表页","导出 DSL","导出当前应用 DSL，便于迁移、备份或复用。","/apps/<app_id>/export","GET","setup_required + login_required + account_initialization_required + get_app_model + edit_permission_required","include_secret, workflow_id","DSL 文件流","apps, app_model_configs, workflows","只读导出"
"5","应用管理","App 基础","应用列表页","删除应用","删除当前应用及其关联对象。","/apps/<app_id>","DELETE","setup_required + login_required + account_initialization_required + get_app_model + edit_permission_required","app_id","result=success","apps 及其关联对象","删除影响较大，需做引用确认"
"6","应用管理","App 设置","应用基础设置页","保存基本信息","修改名称、描述、图标、答案头像、最大并发请求数。","/apps/<app_id>","PUT","setup_required + login_required + account_initialization_required + get_app_model + edit_permission_required","name, description, icon_type, icon, icon_background, use_icon_as_answer_icon, max_active_requests","更新后 App 详情","apps","基础信息主保存入口"
"7","应用管理","App 设置","应用基础设置页","校验名称","保存前校验名称是否冲突。","/apps/<app_id>/name","POST","setup_required + login_required + account_initialization_required + get_app_model + edit_permission_required","name","名称校验结果","apps","只读校验"
"8","应用管理","App 设置","应用基础设置页","更新图标","单独修改应用图标和背景色。","/apps/<app_id>/icon","POST","setup_required + login_required + account_initialization_required + get_app_model + edit_permission_required","icon, icon_background","更新后 App","apps.icon, apps.icon_background","可用于列表卡片和聊天头像"
"9","应用管理","App 设置","应用基础设置页","启用 WebApp","控制是否开放站点访问入口。","/apps/<app_id>/site-enable","POST","setup_required + login_required + account_initialization_required + get_app_model + edit_permission_required","enable_site","更新后 App","apps.enable_site, sites","与站点配置联动"
"10","应用管理","App 设置","应用基础设置页","启用 API","控制是否开放 API 调用入口。","/apps/<app_id>/api-enable","POST","setup_required + login_required + is_admin_or_owner_required + account_initialization_required + get_app_model","enable_api","更新后 App","apps.enable_api","管理员权限"
"11","应用管理","App 设置","应用基础设置页","配置链路追踪","开启或关闭 tracing provider，用于调用链路排查。","/apps/<app_id>/trace","POST","setup_required + login_required + account_initialization_required + edit_permission_required","enabled, tracing_provider","result=success","trace 配置对象","调试与运维能力"
"12","应用管理","模型配置","模型配置页","保存模型配置","统一保存模型、Prompt、欢迎语、推荐问题、Agent、知识库引用、文件上传等配置。","/apps/<app_id>/model-config","POST","setup_required + login_required + account_initialization_required + edit_permission_required + get_app_model(mode=[agent-chat,chat,completion])","provider, model, configs, opening_statement, suggested_questions, more_like_this, speech_to_text, text_to_speech, retrieval_model, tools, dataset_configs, agent_mode","result=success","app_model_configs, apps.app_model_config_id","核心配置入口"
"13","应用管理","模型配置","模型配置页","配置知识库引用","可绑定一个或多个知识库，并配置多知识库检索参数。","/apps/<app_id>/model-config","POST","同上","dataset_configs","保存成功","app_model_configs.dataset_configs","dataset_configs 为复杂 JSON"
"14","应用管理","模型配置","模型配置页","配置图片上传","控制聊天区是否允许上传图片、上传数量、清晰度、传输方式。","/apps/<app_id>/model-config","POST","同上","file_upload.image.enabled, number_limits, detail, transfer_methods","保存成功","app_model_configs.file_upload","影响前端输入区能力"
"15","应用管理","站点发布","站点发布页","保存站点配置","配置站点标题、描述、默认语言、主题色、自定义域名、版权、隐私政策、自定义免责声明等。","/apps/<app_id>/site","POST","setup_required + login_required + account_initialization_required + get_app_model + edit_permission_required","title, icon_type, icon, icon_background, description, default_language, chat_color_theme, chat_color_theme_inverted, customize_domain, copyright, privacy_policy, custom_disclaimer, customize_token_strategy, prompt_public, show_workflow_steps, use_icon_as_answer_icon","Site 配置详情","sites","WebApp 发布配置"
"16","应用管理","站点发布","站点发布页","重置访问 Token","重置站点访问码。","/apps/<app_id>/site/access-token-reset","POST","setup_required + login_required + is_admin_or_owner_required + account_initialization_required + get_app_model","app_id","重置后的 Site 配置","sites.code","管理员权限"
